,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__bootstrap,param_rf__criterion,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,147.5242748260498,1.3057573072673414,1.6545548915863038,0.04644142300599103,True,log_loss,47,sqrt,7,7,173,"OrderedDict([('rf__bootstrap', True), ('rf__criterion', 'log_loss'), ('rf__max_depth', 47), ('rf__max_features', 'sqrt'), ('rf__min_samples_leaf', 7), ('rf__min_samples_split', 7), ('rf__n_estimators', 173)])",0.994568889926691,0.9955597566975317,0.9920349577942282,0.9895518892527783,0.9917886449480939,0.9952783213091789,0.9923226592902908,0.9932591851703118,0.9885122301963213,0.9952149396461563,0.9928091474231582,0.0023173353007687027,16
1,570.1538240909576,8.887981066408623,1.2640850305557252,0.046638979507118955,False,log_loss,16,,9,3,98,"OrderedDict([('rf__bootstrap', False), ('rf__criterion', 'log_loss'), ('rf__max_depth', 16), ('rf__max_features', None), ('rf__min_samples_leaf', 9), ('rf__min_samples_split', 3), ('rf__n_estimators', 98)])",0.9889779651960786,0.9932367765512542,0.9906114357864848,0.9961879160878683,0.9887703029794181,0.9912290154118061,0.9951359767173902,0.993147541232894,0.9872871152126363,0.9932879234630111,0.9917871968638842,0.0027517776323542063,31
2,56.069075083732606,0.7081721436219832,1.2144397735595702,0.04425956815151629,True,log_loss,6,log2,3,8,104,"OrderedDict([('rf__bootstrap', True), ('rf__criterion', 'log_loss'), ('rf__max_depth', 6), ('rf__max_features', 'log2'), ('rf__min_samples_leaf', 3), ('rf__min_samples_split', 8), ('rf__n_estimators', 104)])",0.9337873538575534,0.9350763928649654,0.9275966952551927,0.9272049663183066,0.9460831466636174,0.9358368844520418,0.929015348236705,0.9364587702880481,0.9346552783977744,0.9399422668647877,0.9345657103198993,0.00548805211616792,44
3,1596.377366256714,25.18017974293066,2.256298565864563,0.05986223422947477,False,gini,30,,6,3,315,"OrderedDict([('rf__bootstrap', False), ('rf__criterion', 'gini'), ('rf__max_depth', 30), ('rf__max_features', None), ('rf__min_samples_leaf', 6), ('rf__min_samples_split', 3), ('rf__n_estimators', 315)])",0.993392499806626,0.9927741860730268,0.9926749195449716,0.9927986521895796,0.9915597659446194,0.9935599932803167,0.994853697119685,0.993162283637611,0.9885621721201421,0.9964710623351347,0.9929809232051712,0.0019478350200745319,13
4,1154.729741883278,20.439971253333546,1.6730299234390258,0.042600929566783026,False,entropy,27,,9,11,198,"OrderedDict([('rf__bootstrap', False), ('rf__criterion', 'entropy'), ('rf__max_depth', 27), ('rf__max_features', None), ('rf__min_samples_leaf', 9), ('rf__min_samples_split', 11), ('rf__n_estimators', 198)])",0.9887457311853772,0.9916975297757512,0.9905890424330778,0.9960506054115355,0.9887452501074723,0.99095493697712,0.9949086020652018,0.9932284449015167,0.9871016621599619,0.9931806926520832,0.9915202497669098,0.0027169965314072283,33
5,205.2680510520935,1.6011656206247522,1.6689473628997802,0.037046310685799395,False,log_loss,9,sqrt,8,7,211,"OrderedDict([('rf__bootstrap', False), ('rf__criterion', 'log_loss'), ('rf__max_depth', 9), ('rf__max_features', 'sqrt'), ('rf__min_samples_leaf', 8), ('rf__min_samples_split', 7), ('rf__n_estimators', 211)])",0.9875304495733829,0.9869852715838583,0.9843872487054574,0.9818266507248501,0.9848216796019722,0.9869363637623989,0.9846128124840478,0.9835851169529984,0.9814126138230332,0.9872392441450936,0.9849337451357094,0.0021109916135233506,39
6,1600.6853480815887,30.25842165338464,2.00292329788208,0.04124568809462784,False,log_loss,19,,6,10,277,"OrderedDict([('rf__bootstrap', False), ('rf__criterion', 'log_loss'), ('rf__max_depth', 19), ('rf__max_features', None), ('rf__min_samples_leaf', 6), ('rf__min_samples_split', 10), ('rf__n_estimators', 277)])",0.98867944546685,0.9932542933356381,0.9890723066498914,0.9930126625740548,0.9889372280524082,0.991713348939107,0.9956417514586867,0.9917703535662701,0.9862513713086225,0.9931762427356196,0.9911509004087149,0.0026869056118678262,34
7,1441.6895433664322,20.606445665162465,1.893148708343506,0.05719792858483087,False,log_loss,25,,4,3,250,"OrderedDict([('rf__bootstrap', False), ('rf__criterion', 'log_loss'), ('rf__max_depth', 25), ('rf__max_features', None), ('rf__min_samples_leaf', 4), ('rf__min_samples_split', 3), ('rf__n_estimators', 250)])",0.9875510774134592,0.9915629753950934,0.9857897960479749,0.9931660440823029,0.9822688096735694,0.9867512292521894,0.9951641851857982,0.9918044136624848,0.98774708558664,0.9951506133045411,0.9896956229604055,0.0040880103454821425,37
8,61.57976908683777,0.7721996528159835,1.1000214338302612,0.05123498977812718,False,log_loss,44,log2,4,5,50,"OrderedDict([('rf__bootstrap', False), ('rf__criterion', 'log_loss'), ('rf__max_depth', 44), ('rf__max_features', 'log2'), ('rf__min_samples_leaf', 4), ('rf__min_samples_split', 5), ('rf__n_estimators', 50)])",0.993407152638986,0.9957823802468717,0.9886959840505078,0.9903851509470449,0.9927178169067818,0.9961642167065878,0.9929318778968028,0.9922342972304184,0.9879493395630211,0.9963019257488931,0.9926570141935915,0.0028140314471655284,22
9,134.84118626117706,0.8287115865117948,1.580402398109436,0.04282958141350116,True,log_loss,37,sqrt,6,6,159,"OrderedDict([('rf__bootstrap', True), ('rf__criterion', 'log_loss'), ('rf__max_depth', 37), ('rf__max_features', 'sqrt'), ('rf__min_samples_leaf', 6), ('rf__min_samples_split', 6), ('rf__n_estimators', 159)])",0.9945600007367524,0.9955598630721498,0.991256695815809,0.9897980302132906,0.9904727959811434,0.9954264042885048,0.9923887473937711,0.993572944104024,0.9886113605919329,0.99575438958107,0.9927401231778447,0.0024784223217807553,19
