,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__alpha,param_svm__average,param_svm__eta0,param_svm__learning_rate,param_svm__loss,param_svm__n_iter_no_change,param_svm__penalty,param_svm__power_t,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,50.507702589035034,3.1393689808969234,0.7035094261169433,0.2441727678084158,0.4101629484574285,False,9.32935130848986,optimal,hinge,11,l1,3.723570747533061,"OrderedDict([('svm__alpha', 0.4101629484574285), ('svm__average', False), ('svm__eta0', 9.32935130848986), ('svm__learning_rate', 'optimal'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 11), ('svm__penalty', 'l1'), ('svm__power_t', 3.723570747533061)])",0.12513724455297895,0.10084941582973436,0.07425640456951862,0.08934240259763838,0.1402961430603762,0.1476500699231369,0.10033428320911882,0.14568285281005616,0.19851093450088358,0.1003288031565103,0.12223885542099525,0.03485557082848065,41
1,285.3120768547058,7.236910880923739,0.7469248533248901,0.23831288287727942,0.837404616717729,False,3.041066997742908,adaptive,hinge,6,l2,1.832578248379249,"OrderedDict([('svm__alpha', 0.837404616717729), ('svm__average', False), ('svm__eta0', 3.041066997742908), ('svm__learning_rate', 'adaptive'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 6), ('svm__penalty', 'l2'), ('svm__power_t', 1.832578248379249)])",0.7303903371588648,0.7094691582584282,0.7199255601789114,0.7326744062018458,0.7361480478971308,0.7226465430484645,0.7371899654616579,0.7300231542875834,0.7007977681607898,0.7233357023008059,0.7242600642954482,0.011142697890507584,32
2,37.721318173408505,1.0709407335537136,0.995189619064331,0.05535441521369103,0.4448880290499217,False,1.0575429939415089,invscaling,hinge,12,l2,3.782607403568433,"OrderedDict([('svm__alpha', 0.4448880290499217), ('svm__average', False), ('svm__eta0', 1.0575429939415089), ('svm__learning_rate', 'invscaling'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 12), ('svm__penalty', 'l2'), ('svm__power_t', 3.782607403568433)])",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,43
3,360.0847620010376,13.765164058136385,0.7654182434082031,0.2333661751314999,0.8124147487585276,True,5.984490304346159,adaptive,hinge,6,elasticnet,4.3758887312187165,"OrderedDict([('svm__alpha', 0.8124147487585276), ('svm__average', True), ('svm__eta0', 5.984490304346159), ('svm__learning_rate', 'adaptive'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 6), ('svm__penalty', 'elasticnet'), ('svm__power_t', 4.3758887312187165)])",0.01638823474441962,0.0022571909038322647,0.022839964203309224,0.015113938211428726,0.0071958441226577545,0.013289007586031399,0.018392949551685557,0.008803081173073593,0.011770794466290457,0.01179668721749383,0.012784769218022244,0.005578056656092553,49
4,596.8061816692352,44.25272777765079,0.5573247194290161,0.05739912591105796,0.7995734862630124,True,5.2709361689056475,adaptive,hinge,16,l1,3.286392098564037,"OrderedDict([('svm__alpha', 0.7995734862630124), ('svm__average', True), ('svm__eta0', 5.2709361689056475), ('svm__learning_rate', 'adaptive'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 16), ('svm__penalty', 'l1'), ('svm__power_t', 3.286392098564037)])",0.015717387124865374,0.005047482859043879,0.01604742737375118,0.007882985413615849,0.006236391166938057,0.0077257221977425974,0.014499669614803307,0.006621174857249968,0.025293593387391417,0.007842736613849911,0.011291457060925153,0.006092116362468442,50
5,55.08714654445648,2.615906604357853,0.5990721464157105,0.12777994036228818,0.7340546151837698,False,1.644435714599117,optimal,hinge,11,l1,2.720349284593565,"OrderedDict([('svm__alpha', 0.7340546151837698), ('svm__average', False), ('svm__eta0', 1.644435714599117), ('svm__learning_rate', 'optimal'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 11), ('svm__penalty', 'l1'), ('svm__power_t', 2.720349284593565)])",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,43
6,477.6861216783524,33.17189865999359,0.7754997491836548,0.2124108211001054,0.6171176505664661,False,3.596639089894825,adaptive,hinge,14,l1,2.1682046711584175,"OrderedDict([('svm__alpha', 0.6171176505664661), ('svm__average', False), ('svm__eta0', 3.596639089894825), ('svm__learning_rate', 'adaptive'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 14), ('svm__penalty', 'l1'), ('svm__power_t', 2.1682046711584175)])",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,43
7,208.50232434272766,13.413583933357945,0.8061376333236694,0.2037068970427662,0.5434487273835436,False,4.9697023689312,adaptive,hinge,6,l1,0.22642531676225333,"OrderedDict([('svm__alpha', 0.5434487273835436), ('svm__average', False), ('svm__eta0', 4.9697023689312), ('svm__learning_rate', 'adaptive'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 6), ('svm__penalty', 'l1'), ('svm__power_t', 0.22642531676225333)])",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,43
8,28.54082610607147,1.4856434269132055,0.76399667263031,0.22381007905292147,0.9554824385112973,False,8.717802765347518,invscaling,hinge,8,l2,1.9163588895472519,"OrderedDict([('svm__alpha', 0.9554824385112973), ('svm__average', False), ('svm__eta0', 8.717802765347518), ('svm__learning_rate', 'invscaling'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 8), ('svm__penalty', 'l2'), ('svm__power_t', 1.9163588895472519)])",0.5445818817182222,0.513297629644166,0.5224889956727417,0.5054522583176257,0.5732987861791534,0.5677221387157216,0.5233441184357,0.532267887780912,0.5313896888150875,0.5167760292526076,0.5330619414531939,0.021402910429705886,40
9,29.894496655464174,1.2919208579185484,0.6067092180252075,0.20709086151974143,0.003729944224017752,False,7.415414616236593,optimal,hinge,9,l2,0.8477134755083772,"OrderedDict([('svm__alpha', 0.003729944224017752), ('svm__average', False), ('svm__eta0', 7.415414616236593), ('svm__learning_rate', 'optimal'), ('svm__loss', 'hinge'), ('svm__n_iter_no_change', 9), ('svm__penalty', 'l2'), ('svm__power_t', 0.8477134755083772)])",0.9120531930765609,0.9163779186590023,0.9080788930175887,0.9152064110068988,0.9144175692703225,0.9103426766743243,0.9163673774065255,0.9182422098983316,0.9082072566812972,0.9154660804654101,0.9134759586156262,0.003406901256761873,29
