hparam/batch norm,hparam/bsize,hparam/depth,hparam/hidden size,hparam/scheduler,Best Loss,Avg Accuracy,Std Accuracy,Avg Balanced Accuracy,Std Balanced Accuracy,Avg F1 score,Std F1 score
1.0,512.0,4.0,128.0,0.5,0.043872248381376266,0.9895297288894653,0.0024998688604682684,0.9893266558647156,0.0030658601317554712,0.9896224141120911,0.0024727832060307264
1.0,512.0,6.0,128.0,0.5,0.043872248381376266,0.9895297288894653,0.0024998688604682684,0.9893266558647156,0.0030658601317554712,0.9896224141120911,0.0024727832060307264
1.0,1024.0,4.0,128.0,0.5,0.04339269921183586,0.9888700246810913,0.0030268619302660227,0.9890703558921814,0.0025046286173164845,0.9890222549438477,0.0029270530212670565
1.0,1024.0,6.0,128.0,0.5,0.04339269921183586,0.9888700246810913,0.0030268619302660227,0.9890703558921814,0.0025046286173164845,0.9890222549438477,0.0029270530212670565
1.0,512.0,4.0,128.0,0.9,0.040324561297893524,0.9878197312355042,0.002927792025730014,0.988341212272644,0.0010644824942573905,0.9879978895187378,0.0028113594744354486
1.0,512.0,6.0,128.0,0.9,0.040324561297893524,0.9878197312355042,0.002927792025730014,0.988341212272644,0.0010644824942573905,0.9879978895187378,0.0028113594744354486
0.0,1024.0,4.0,64.0,0.5,0.04163021594285965,0.9884778261184692,0.0012729488080367446,0.9883325099945068,0.0023233641404658556,0.9886834025382996,0.0011373357847332954
1.0,512.0,4.0,64.0,0.9,0.04716100916266441,0.9878699779510498,0.0014304366195574403,0.9881277680397034,0.0015220330096781254,0.9880519509315491,0.0013260003179311752
1.0,512.0,6.0,64.0,0.9,0.04716100916266441,0.9878699779510498,0.0014304366195574403,0.9881277680397034,0.0015220330096781254,0.9880519509315491,0.0013260003179311752
0.0,512.0,4.0,64.0,0.5,0.05012267082929611,0.986226499080658,0.004371542017906904,0.9872187972068787,0.005075754597783089,0.9864449501037598,0.004264324437826872
1.0,1024.0,4.0,128.0,0.9,0.04382266849279404,0.9856884479522705,0.0017704539932310581,0.9870488047599792,0.004209315869957209,0.9859212040901184,0.0017206723568961024
1.0,1024.0,6.0,128.0,0.9,0.04382266849279404,0.9856884479522705,0.0017704539932310581,0.9870488047599792,0.004209315869957209,0.9859212040901184,0.0017206723568961024
1.0,1024.0,4.0,64.0,0.5,0.04656749591231346,0.9863075613975525,0.004923905245959759,0.9869195818901062,0.0028298120014369488,0.9865939021110535,0.004624967463314533
1.0,1024.0,6.0,64.0,0.5,0.04656749591231346,0.9863075613975525,0.004923905245959759,0.9869195818901062,0.0028298120014369488,0.9865939021110535,0.004624967463314533
1.0,512.0,4.0,64.0,0.5,0.05234171077609062,0.9842102527618408,0.00849937740713358,0.9866055250167847,0.0052942088805139065,0.9844089150428772,0.008405168540775776
1.0,512.0,6.0,64.0,0.5,0.05234171077609062,0.9842102527618408,0.00849937740713358,0.9866055250167847,0.0052942088805139065,0.9844089150428772,0.008405168540775776
0.0,1024.0,4.0,128.0,0.5,0.05427876487374306,0.9864680171012878,0.002184641780331731,0.9860461354255676,0.0026904894039034843,0.9867486953735352,0.002078915713354945
1.0,1024.0,4.0,64.0,0.9,0.04999588802456856,0.9853772521018982,0.0037867766804993153,0.9860271215438843,0.003530503250658512,0.98572838306427,0.0034714776556938887
1.0,1024.0,6.0,64.0,0.9,0.04999588802456856,0.9853772521018982,0.0037867766804993153,0.9860271215438843,0.003530503250658512,0.98572838306427,0.0034714776556938887
1.0,1024.0,4.0,128.0,0.5,0.05737415328621864,0.9880742430686951,0.002515549538657069,0.9838115572929382,0.007302712649106979,0.9881887435913086,0.0024076439440250397
0.0,512.0,6.0,64.0,0.5,0.04783251881599426,0.983694851398468,0.010622317902743816,0.9835076928138733,0.013159613125026226,0.984185516834259,0.009936689399182796
1.0,1024.0,4.0,64.0,0.9,0.05878954753279686,0.9862848520278931,0.002801608294248581,0.9831135869026184,0.0061526973731815815,0.9864839911460876,0.0027492039371281862
0.0,1024.0,4.0,128.0,0.9,0.059589266777038574,0.9856786727905273,0.005118362605571747,0.9822561144828796,0.012033171020448208,0.9859396815299988,0.004975283518433571
1.0,1024.0,4.0,128.0,0.9,0.06626281887292862,0.9878278970718384,0.002031546551734209,0.982090175151825,0.006440897472202778,0.9879133701324463,0.0019180049421265721
0.0,1024.0,4.0,64.0,0.9,0.05989239364862442,0.983002781867981,0.006092078052461147,0.9817540645599365,0.008809368126094341,0.9834443926811218,0.005727589130401611
0.0,512.0,4.0,64.0,0.9,0.07279431074857712,0.9823463559150696,0.0073629324324429035,0.9814261198043823,0.008623489178717136,0.9829503297805786,0.0066770813427865505
1.0,512.0,4.0,128.0,0.5,0.07454435527324677,0.9822037220001221,0.005184821784496307,0.9810225963592529,0.006952217314392328,0.9823699593544006,0.00528657715767622
1.0,1024.0,4.0,64.0,0.5,0.0637662336230278,0.9853431582450867,0.0034182346425950527,0.9789314270019531,0.004692309070378542,0.9854798913002014,0.003331696381792426
0.0,1024.0,6.0,64.0,0.5,0.06389067322015762,0.9781193137168884,0.008113624528050423,0.9785546660423279,0.009467882104218006,0.978922963142395,0.007504576817154884
0.0,512.0,4.0,128.0,0.5,0.08324407786130905,0.9821648001670837,0.01102557871490717,0.9781234860420227,0.013172089122235775,0.9827931523323059,0.010348564945161343
1.0,512.0,4.0,128.0,0.9,0.06749744713306427,0.97890704870224,0.003293710295110941,0.9781138896942139,0.005415201187133789,0.9795337319374084,0.0036944872699677944
