,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__algorithm,param_knn__leaf_size,param_knn__metric,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,56.144811677932736,6.556520702877036,2810.0090482234955,581.7116558637903,ball_tree,46,minkowski,7,2,uniform,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 46), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 7), ('knn__p', 2), ('knn__weights', 'uniform')])",0.9532417220560845,0.9527545873633259,0.9566409348116185,0.958378683174355,0.9585179355450377,0.9610340040735803,0.9488616268851692,0.971315959668185,0.945831749246117,0.9540393774772362,0.956061658030071,0.0066979494334054425,44
1,24.50006732940674,3.1943556485870492,1925.1734120607375,378.8759778573059,brute,54,euclidean,14,2,uniform,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 54), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 14), ('knn__p', 2), ('knn__weights', 'uniform')])",0.9406564522274591,0.944742519452431,0.9528783460953333,0.954178964413523,0.9560391171897182,0.9514402627768087,0.9351453008430101,0.9575932115547314,0.9364569951082569,0.9476618869154004,0.9476793056576673,0.0076979177739543835,49
2,56.11794867515564,7.128732789582131,2818.9571186304092,578.2974298439275,ball_tree,56,euclidean,8,1,uniform,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 56), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 8), ('knn__p', 1), ('knn__weights', 'uniform')])",0.9535748671478157,0.9517803315250507,0.9538424937745285,0.9571161403245151,0.956562328015991,0.9602787985933592,0.9497995368602961,0.9683470484157628,0.9429861337597846,0.957875156352415,0.9552162834769519,0.006370572671538525,45
3,24.239690446853636,3.2345616111723254,7385.446345877647,1587.6422837132488,brute,19,manhattan,13,2,uniform,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 19), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 13), ('knn__p', 2), ('knn__weights', 'uniform')])",0.9494192442776063,0.9557762172263381,0.9563137643924404,0.9607448727365908,0.9560067718388577,0.9603489231990945,0.9447009378047729,0.9661355555854811,0.9455671095183809,0.9548932581083905,0.9549906654687954,0.006443311895389702,46
4,24.16768898963928,3.284290266925686,7409.441047596932,1602.9326017324504,brute,32,manhattan,12,2,distance,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 32), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 12), ('knn__p', 2), ('knn__weights', 'distance')])",0.9721322819056188,0.9610091873883198,0.9655815350327405,0.9707224933934688,0.967301537499438,0.9688758750930729,0.9648967526018002,0.9711206712730972,0.9597930957554016,0.974252829940945,0.9675686259883902,0.0045213075831938565,20
5,74.78391168117523,10.02724653629394,513.683900308609,77.87885044074218,kd_tree,57,euclidean,5,2,uniform,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 57), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 5), ('knn__p', 2), ('knn__weights', 'uniform')])",0.9607213604085363,0.954567938837064,0.9586874122249144,0.9569283829729965,0.9645025801956205,0.9628421120494288,0.958519692186778,0.9734135150673264,0.9513673415337035,0.9611539950918504,0.9602704330568219,0.0057164066565724625,43
6,75.28148589134216,10.14625845523343,583.8326634645462,92.01031441071889,kd_tree,49,manhattan,13,2,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 49), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 13), ('knn__p', 2), ('knn__weights', 'distance')])",0.9719002740261619,0.9625571761132748,0.9668825299751986,0.9703720369601798,0.9656939494276872,0.9707033685672221,0.9647574836437005,0.9723729337156783,0.9595235123016606,0.9722634781475398,0.9677026742878303,0.004279233158127978,17
7,75.53389849662781,9.93310714442375,595.2795502185821,95.01000157156146,kd_tree,56,manhattan,13,1,uniform,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 56), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 13), ('knn__p', 1), ('knn__weights', 'uniform')])",0.9494192442776063,0.9557762172263381,0.9563137643924404,0.9607448727365908,0.9560067718388577,0.9603489231990945,0.9447009378047729,0.9661355555854811,0.9455671095183809,0.9548932581083905,0.9549906654687954,0.006443311895389702,46
8,23.71322226524353,3.518432753667087,7388.277916574478,1590.6335538919857,brute,45,minkowski,8,1,uniform,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 45), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 8), ('knn__p', 1), ('knn__weights', 'uniform')])",0.9579214094354835,0.9588411213006971,0.9573450414241806,0.9614507436954515,0.9633286592831561,0.9646470222319327,0.9598497571077033,0.9725804287198632,0.9509281741452987,0.9666335971335297,0.9613525954477297,0.0056016875997263165,39
9,24.917665719985962,3.20511505780258,1917.4257280349732,376.9725317556927,auto,51,minkowski,6,2,uniform,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 51), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 6), ('knn__p', 2), ('knn__weights', 'uniform')])",0.957360340400345,0.958287393743076,0.9588210657397369,0.959182054155588,0.9613234254907157,0.9636204887092756,0.9586235703193555,0.9719883165960999,0.9505393800932092,0.9634963223450163,0.9603242357592418,0.005225990260903532,42
10,75.22990565299988,10.34350890618962,537.0309071063996,81.61957452118797,kd_tree,41,euclidean,13,2,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 41), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 13), ('knn__p', 2), ('knn__weights', 'distance')])",0.9653911840784023,0.9535707671163071,0.9648109079595013,0.9667916724969023,0.9581202300958094,0.9663854736672489,0.9606205931587788,0.9693534365607827,0.949881342947158,0.9676070124327942,0.9622532620513684,0.006175218474980708,36
11,58.8599764585495,7.982773452604886,1079.1101030111313,191.7333979601138,ball_tree,10,manhattan,13,1,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 10), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 13), ('knn__p', 1), ('knn__weights', 'distance')])",0.9719002740261619,0.9625571761132748,0.9668825299751986,0.9703720369601798,0.9656939494276872,0.9707033685672221,0.9647574836437005,0.9723729337156783,0.9595235123016606,0.9722634781475398,0.9677026742878303,0.004279233158127978,17
12,55.07823178768158,7.473554899148722,2335.3507729768753,469.4096633924817,ball_tree,59,manhattan,3,1,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 59), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'distance')])",0.9772562182408459,0.9595917360152603,0.968945744967348,0.9710618330129901,0.9693528252941931,0.9699593195618604,0.9745238081896173,0.9725770930610173,0.9641677088617377,0.9792016197009283,0.9706637906905797,0.005522948386220873,8
13,25.103480648994445,3.078894920996423,7479.934048318863,1583.4788804255445,auto,12,manhattan,6,2,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 12), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 6), ('knn__p', 2), ('knn__weights', 'distance')])",0.9751943693513947,0.9587183170042417,0.9687558802447536,0.9712945583648768,0.9689944309702442,0.9715365900245934,0.9771622375443416,0.9724651942334759,0.9646366125114187,0.9800672687757228,0.9708825459025062,0.005835714352018841,7
14,75.1268919467926,10.531038503787263,496.0880586385727,73.9352585227113,kd_tree,60,euclidean,3,2,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 60), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 3), ('knn__p', 2), ('knn__weights', 'distance')])",0.9721050263255184,0.9549866823824974,0.9616410131647269,0.9686555460625197,0.9673091824600887,0.9676825309888046,0.9689137320866064,0.9693054342173552,0.9555435850497391,0.9709935845121856,0.9657136317250042,0.0058483350945591865,31
15,23.92427978515625,3.3426818951166135,7429.621451544762,1609.0236383017354,auto,26,minkowski,7,1,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 26), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 7), ('knn__p', 1), ('knn__weights', 'distance')])",0.9734262061125045,0.9614569874211248,0.9681961516998457,0.9708385774857684,0.9701936415439743,0.9698928734773243,0.9763400832505387,0.9704527678201125,0.9640796174507363,0.9768452043765841,0.9701722110638513,0.0045906518772566105,15
16,75.27924444675446,10.16653243630985,544.5457016468048,87.02780771120119,kd_tree,53,minkowski,3,1,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 53), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'distance')])",0.9772562182408459,0.9595917360152603,0.968945744967348,0.9710618330129901,0.9693528252941931,0.9699593195618604,0.9745238081896173,0.9725770930610173,0.9641677088617377,0.9792016197009283,0.9706637906905797,0.005522948386220873,8
17,23.822538900375367,3.506252216661468,7396.56786365509,1594.234214246249,brute,18,manhattan,3,1,uniform,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 18), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'uniform')])",0.9728423333030752,0.9580956112562886,0.9644417390234509,0.9667534635947203,0.9684104718988156,0.9669071941716814,0.9679368229282552,0.9781149348273523,0.9530492835680124,0.9703426820031782,0.966689453657483,0.0067177046354578865,25
18,23.851313996315003,3.3607963102757665,1902.2729555130004,374.4919592917958,auto,10,minkowski,3,2,distance,"OrderedDict([('knn__algorithm', 'auto'), ('knn__leaf_size', 10), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 3), ('knn__p', 2), ('knn__weights', 'distance')])",0.9721050263255184,0.9549866823824974,0.9616410131647269,0.9686555460625197,0.9673091824600887,0.9676825309888046,0.9689137320866064,0.9693054342173552,0.9555435850497391,0.9709935845121856,0.9657136317250042,0.0058483350945591865,31
19,23.782139348983765,3.4596990064564968,7397.362091159821,1595.1371488783152,brute,60,minkowski,3,1,distance,"OrderedDict([('knn__algorithm', 'brute'), ('knn__leaf_size', 60), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 3), ('knn__p', 1), ('knn__weights', 'distance')])",0.9772562182408459,0.9595917360152603,0.968945744967348,0.9710618330129901,0.9693528252941931,0.9699593195618604,0.9745238081896173,0.9725770930610173,0.9641677088617377,0.9792016197009283,0.9706637906905797,0.005522948386220873,8
20,75.31573281288146,9.93550286014839,550.0516817808151,85.6122433100056,kd_tree,52,manhattan,4,1,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 52), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 4), ('knn__p', 1), ('knn__weights', 'distance')])",0.9775274445973263,0.9580108860141584,0.9674748222955616,0.972532975350704,0.971179466423202,0.9701490654793934,0.9779048153654173,0.9726078823477596,0.9660382161232113,0.9792686433162784,0.9712694217313012,0.006077692373352448,1
21,59.060892534255984,7.2917700808157635,1492.7764781713486,291.3902420283593,ball_tree,12,euclidean,6,1,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 12), ('knn__metric', 'euclidean'), ('knn__n_neighbors', 6), ('knn__p', 1), ('knn__weights', 'distance')])",0.9695275632999742,0.9543924404356445,0.9618976725048759,0.9676041253752773,0.9653903104836135,0.9695692545923424,0.9660811697741453,0.9705600371793807,0.9606718952578032,0.9769871581785468,0.9662681627081604,0.005906610795006823,30
22,54.27252051830292,7.035232874212061,2368.9976541996,474.59056894943916,ball_tree,55,manhattan,7,1,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 55), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 7), ('knn__p', 1), ('knn__weights', 'distance')])",0.9734262061125045,0.9614569874211248,0.9681961516998457,0.9708385774857684,0.9701936415439743,0.9698928734773243,0.9763400832505387,0.9704527678201125,0.9640796174507363,0.9768452043765841,0.9701722110638513,0.0045906518772566105,15
23,57.01984307765961,7.116778483473491,2851.278348278999,577.8939850958828,ball_tree,58,minkowski,7,2,distance,"OrderedDict([('knn__algorithm', 'ball_tree'), ('knn__leaf_size', 58), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 7), ('knn__p', 2), ('knn__weights', 'distance')])",0.9669644861810772,0.9539312657795275,0.9644319550569793,0.9659065449786592,0.96478027449748,0.9681238773860896,0.9632899029806152,0.9679750316107866,0.9567947957379992,0.9743537311501782,0.9646551865359392,0.005502103382674563,34
24,75.28284270763398,10.063039772432575,542.8934945583344,86.45647019562949,kd_tree,52,manhattan,3,2,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 52), ('knn__metric', 'manhattan'), ('knn__n_neighbors', 3), ('knn__p', 2), ('knn__weights', 'distance')])",0.9772562182408459,0.9595917360152603,0.968945744967348,0.9710618330129901,0.9693528252941931,0.9699593195618604,0.9745238081896173,0.9725770930610173,0.9641677088617377,0.9792016197009283,0.9706637906905797,0.005522948386220873,8
25,74.95953140258788,10.170938929899515,595.2139055013656,93.68903164885818,kd_tree,38,minkowski,15,1,distance,"OrderedDict([('knn__algorithm', 'kd_tree'), ('knn__leaf_size', 38), ('knn__metric', 'minkowski'), ('knn__n_neighbors', 15), ('knn__p', 1), ('knn__weights', 'distance')])",0.9714198361482687,0.9617837312235767,0.9664572141505344,0.9705364030751296,0.9637261162622297,0.9715727382875755,0.965389024634088,0.97093469092137,0.9590954832979193,0.9714993554240057,0.9672414593424697,0.0043748487579494885,21
